upc,description,department,qty_sold,unit_price,sales,business_date,cashier_id
65344327636,#12,,1,5,5,2026-08-16,4444
65344327636,#12,,1,5,5,2026-08-16,4444
65344327636,#12,,1,5,5,2026-08-16,6767
65344327636,#12,,1,5,5,2026-08-16,6767
65344327665,1000000 crossword $25,,1,25,25,2026-08-16,4444
65344327663,1000000 crossword $5,,1,5,5,2026-08-16,4444
65344327663,1000000 crossword $5,,2,5,10,2026-08-16,4444
65344327663,1000000 crossword $5,,1,5,5,2026-08-16,6767
65344327664,250000 crossword $10,,1,10,10,2026-08-16,4444
65344327664,250000 crossword $10,,1,10,10,2026-08-16,6767
00000000013,Candy,,1,2.49,2.49,2026-08-16,4444
00000000001,Edible,,2,1.99,3.98,2026-08-16,4444
00000000001,Edible,,1,1.99,1.99,2026-08-16,4444
00000000001,Edible,,1,1.99,1.99,2026-08-16,4444
00000000001,Edible,,1,1.99,1.99,2026-08-16,4444
00000000001,Edible,,2,1.99,3.98,2026-08-16,4444
00000000001,Edible,,1,2.49,2.49,2026-08-16,6767
00000000001,Edible,,1,2.99,2.99,2026-08-16,6767
00000000001,Edible,,1,1.99,1.99,2026-08-16,6767
00000000001,Edible,,1,8.99,8.99,2026-08-16,6767
81020387377,Geek bar orange fab,,1,21.99,21.99,2026-08-16,4444
08378337555,IPA Orange,,1,2.99,2.99,2026-08-16,6767
08378337555,IPA Orange,,1,2.99,2.99,2026-08-16,6767
00000000020,Liquor,,4,1.49,5.96,2026-08-16,6767
00000000015,Machine Lotto,,1,10,10,2026-08-16,4444
00000000015,Machine Lotto,,1,5,5,2026-08-16,4444
00000000015,Machine Lotto,,1,3,3,2026-08-16,4444
00000000015,Machine Lotto,,1,10,10,2026-08-16,4444
00000000015,Machine Lotto,,1,1,1,2026-08-16,6767
00000000015,Machine Lotto,,1,10,10,2026-08-16,6767
00000000015,Machine Lotto,,1,1,1,2026-08-16,6767
65344327632,Monopoly,,1,2,2,2026-08-16,4444
490100500185,NOF Merchandise,,2,2.49,4.98,2026-08-16,6767
85002560552,NOF Merchandise,,1,7.99,7.99,2026-08-16,6767
04400008088,Ritz Chips,,1,2.69,2.69,2026-08-16,4444
04400008088,Ritz Chips,,1,2.69,2.69,2026-08-16,4444
00980000807,TicTac,,1,3.29,3.29,2026-08-16,4444
65344327662,bonus word crossword $3,,2,3,6,2026-08-16,4444
00000000048,Coffee Refill Large,Auto Parts,1,0.84,0.84,2026-08-16,4444
00000000006,Refill Coffee/Cap.,Auto Parts,1,0.66,0.66,2026-08-16,4444
00000000006,Refill Coffee/Cap.,Auto Parts,1,0.66,0.66,2026-08-16,4444
03170005591,WHITE OWL MINI WG 3/1.29,Auto Parts,2,1.29,2.58,2026-08-16,4444
63598526089,BLACK CHERRY WHITECLAW 12PK,Beer,1,14.99,14.99,2026-08-16,4444
07199009516,Blue Moon 12pk BTL,Beer,1,17.99,17.99,2026-08-16,6767
