upc,name,department,vendor,cost,price,margin_pct
09418703018,1157A Bulbs,Auto Parts,,0,1.79,100
07922302310,2 Gallon Gas Can,Auto Parts,,12.4,24.79,50
03414602607,50/50,Auto Parts,,7.44,9.99,25.5
07162164835,5W-30 Mag Oil,Auto Parts,,5.66,6.28,9.9
07617132012,AIR FRESH. TREE 3PK STRA,Auto Parts,,0,3.99,100
08089301083,ATM Mini Fuses,Auto Parts,,0,3.69,100
08089301077,Blade Fuses,Auto Parts,,0,2.19,100
07617132055,CAR FRESHNER BLK IC,Auto Parts,,0,3.89,100
07617132089,CARFRSH NEW CAR SCN,Auto Parts,,1.99,3.89,48.8
04133366388,DURACELL LITHIUM DIOXIDE,Auto Parts,,0,4.69,100
07390528201,Heet Gasline Antifreeze 12 oz,Auto Parts,,0,2.09,100
03400031896,KITKAT CHOC DONUT KING,Auto Parts,,0,2.79,100
08089301031,L.A.S. BATTERY TERMINAL,Auto Parts,,0,2.59,100
08089301228,L.A.S. HOSE ASST. CLAMPS,Auto Parts,,0,4.69,100
08089301038,L.A.S.038 TAPE ELECTRICA,Auto Parts,,0,3.09,100
07617110101,Little Trees Air Freshener Royal Pine,Auto Parts,,0,1.19,100
07162160179,MAG 1 2-CYCLE 50:1 2.6/O,Auto Parts,,1.01,1.69,40.2
84053012807,PRIME 50/50 ANTIFREEZEE,Auto Parts,,0,14.99,100
84053012803,PRIMEGUARD ANTIFREEZE GR,Auto Parts,,7.62,11.79,35.4
03414600003,PRO FORCE 2 CYCLE,Auto Parts,,0,3.89,100
03414601302,PRO FORCE ATF,Auto Parts,,0,4.89,100
03414600020,PRO FORCE Fuel injector,Auto Parts,,0,4.29,100
03414600012,PRO FORCE GAS TREATMENT,Auto Parts,,3.11,3.89,20.1
07161193653,Pennzoil 10W-40 Oil 1 qt,Auto Parts,,0,7.49,100
07161193619,Pennzoil SAE 10W-30 Oil 1 qt,Auto Parts,,6.11,9.49,35.6
07161193609,Pennzoil SAE 5W-30,Auto Parts,,6.11,7.49,18.4
07390522264,STA-BIL 360,Auto Parts,,0,9.99,100
07115378380,STP Diesel Fuel Treatment 1.25 pt,Auto Parts,,0,6.29,100
07115378571,STP Fuel Inj/Carb 5.25 oz,Auto Parts,,0,3.79,100
07115300204,STP Power Steering Fluid 12 oz,Auto Parts,,0,3.39,100
07115378574,STP octane booster 5.25floz,Auto Parts,,0,7.89,100
01881200001,Sea Foam,Auto Parts,,0,14.29,100
07906200898,Small Ice Scraper,Auto Parts,,0,1.59,100
08089301219,Tire Gauge,Auto Parts,,0,3.39,100
08089301035,Tire Repair Kit,Auto Parts,,0,5.69,100
07956749002,WD 40,Auto Parts,,0,11.19,100
03170005591,WHITE OWL MINI WG 3/1.29,Auto Parts,,1.17,1.29,9.3
03170005787,WHITE OWL WP 2/1.19,Auto Parts,,1.13,1.19,5
84053013222,Wwinshield Wiper FLUID,Auto Parts,,3.34,7.49,55.4
07800005440,aandw cream soda,Auto Parts,,0,1.39,100
07194801075,carb choke,Auto Parts,,0,7.99,100
07162167513,fix flat,Auto Parts,,0,12.89,100
07162162943,mag 1 5w-20,Auto Parts,,5.44,5.69,4.4
81997901265,njoy,Auto Parts,,0,6.99,100
07162164099,oil,Auto Parts,,0,6.19,100
04900007933,power ade o9range,Auto Parts,,0,1.89,100
03414600010,pro force brake fluid,Auto Parts,,2.3,3.09,25.6
04608701194,radiator stop leak,Auto Parts,,0,3.59,100
03414600046,starter fluid,Auto Parts,,0,6.09,100
63598580207,1- white claw surge blood orange 12/1/19.2cn,Beer,,0,2.79,100
01820020133,12 PK NAT,Beer,,0,8.89,100
03410057653,12PK MILLER 16OZ CANS,Beer,,0,10.25,100
81153801013,1800 SILVER TEQ 750ML,Beer,,0,29.99,100
73692011182,312Urban Wheat 6pack 12oz bottles,Beer,,0,10.99,100
84980600472,4 loco,Beer,,0,2.79,100
63598522413,6pk mike strw,Beer,,0,8.99,100
08800402408,"99Proof,Straw",Beer,,0,0.99,100
85146400308,ANTI HERO,Beer,,0,9.99,100
