transaction_id,cashier_id,register_id,event_time,gross_amount,net_amount,tax_amount,total_amount
9240,20000,10002,03:00:40,16.22,16.22,0,16.22
9241,20000,10002,03:57:56,6.14,6.1,0,6.1
9242,20000,10002,04:30:54,72.82,71.08,0,71.08
9536,4444,2,05:59:56,6.05,6.49,0.44,6.49
9537,4444,2,06:01:41,8.02,8.6,0.58,8.6
9538,4444,2,06:19:38,2.59,2.78,0.19,2.78
9539,4444,2,06:21:39,12,12,0,12
9540,4444,2,06:45:11,20,20,0,20
9541,4444,2,06:46:51,20,20,0,20
9542,4444,2,06:48:29,2.18,2.34,0.16,2.34
9243,20000,10001,06:55:55,39.52,39.52,0,39.52
9543,4444,2,06:56:26,21.18,21.64,1.46,21.64
9544,4444,2,07:01:22,17.62,10.85,0.73,10.85
9545,4444,2,07:03:24,60,60,0,60
9244,20000,10005,07:08:16,52.74,52.74,0,52.74
9245,20000,10003,07:14:47,115,115,0,115
9546,4444,2,07:21:44,64.06,68.4,4.34,68.4
9547,4444,2,07:23:54,17.86,19.15,1.29,19.15
9548,4444,2,07:24:33,2.79,2.99,0.2,2.99
9246,20000,10004,07:25:53,117.25,114.46,0,114.46
9549,4444,2,07:33:54,20,20,0,20
9550,4444,2,07:35:29,20,20,0,20
9551,4444,2,07:41:08,5,5,0,5
9552,4444,2,07:42:14,24.58,25.29,1.71,25.29
9553,4444,2,07:45:12,17.15,18.27,1.12,18.27
9554,4444,2,07:47:40,89.6,90.73,6.13,90.73
9555,4444,2,07:49:55,12.18,13.06,0.88,13.06
9556,4444,2,07:51:11,24.56,25.27,1.71,25.27
9247,20000,10003,07:53:20,80.8,80.05,0,80.05
9557,4444,2,07:56:30,40,40,0,40
9558,4444,2,07:57:10,2.59,2.78,0.19,2.78
9559,4444,2,07:58:45,40,40,0,40
9560,4444,2,07:59:13,0.66,0.71,0.05,0.71
9561,4444,2,08:03:07,29.47,30.23,1.76,30.23
9248,20000,10001,08:11:51,55.22,55.22,0,55.22
9562,4444,2,08:15:31,12.29,13.18,0.89,13.18
9563,4444,2,08:17:57,12.68,13.6,0.92,13.6
9249,20000,10003,08:18:36,30.29,30.29,0,30.29
9564,4444,2,08:18:37,1.5,1.61,0.11,1.61
9565,4444,2,08:24:38,1.29,1.38,0.09,1.38
9250,20000,10002,08:25:30,54.15,54.15,0,54.15
9566,4444,2,08:29:55,1.99,2.13,0.14,2.13
9251,20000,10002,08:33:56,18.91,18.91,0,18.91
9567,4444,2,08:34:07,36.99,39.67,2.68,39.67
9252,20000,10003,08:37:22,37.05,37.05,0,37.05
9568,4444,2,08:37:39,16.04,13.23,0.89,13.23
9569,4444,2,08:43:29,7.58,8.13,0.55,8.13
9253,20000,10004,08:43:33,52.04,52.04,0,52.04
9254,20000,10003,08:44:51,76.4,74.99,0,74.99
9570,4444,2,08:46:39,10.77,11.55,0.78,11.55
9571,4444,2,08:50:43,13.13,14.08,0.95,14.08
9572,4444,2,08:52:18,10.9,11.69,0.79,11.69
9255,20000,10002,08:53:13,43.43,43.43,0,43.43
9573,4444,2,08:54:11,25.98,25.72,1.74,25.72
9256,20000,10001,08:55:31,44.24,44.24,0,44.24
9257,20000,10003,08:56:40,15.05,14.94,0,14.94
9574,4444,2,08:57:14,4.77,5.12,0.35,5.12
9258,20000,10004,08:57:38,79.9,79.9,0,79.9
9575,4444,2,08:58:44,0.75,0.8,0.05,0.8
9576,4444,2,08:59:54,3.48,3.73,0.25,3.73
9577,4444,2,09:01:17,2.99,3.02,0.03,3.02
9578,4444,2,09:01:52,19.31,12.67,0.86,12.67
9259,20000,10004,09:04:46,22.99,22.82,0,22.82
9579,4444,2,09:08:19,0.99,1.06,0.07,1.06
9260,20000,10002,09:09:31,80.51,80.51,0,80.51
9261,20000,10005,09:12:40,80.9,80.9,0,80.9
9580,4444,2,09:16:33,12.24,13.13,0.89,13.13
9262,20000,10003,09:18:24,44,44,0,44
9263,20000,10002,09:18:34,25.92,25.92,0,25.92
9581,4444,2,09:21:49,3.18,3.41,0.23,3.41
9582,4444,2,09:22:42,1.87,2.01,0.14,2.01
9264,20000,10004,09:24:07,61.28,61.28,0,61.28
9583,4444,2,09:24:36,12.28,13.17,0.89,13.17
9265,20000,10005,09:27:54,68.08,68.08,0,68.08
9266,20000,10003,09:28:51,15,15,0,15
9267,20000,10002,09:31:39,64.34,64.34,0,64.34
9584,4444,2,09:33:53,18.96,20.24,1.28,20.24
9268,20000,10001,09:44:11,33.3,33.3,0,33.3
9585,4444,2,09:46:01,20,20,0,20
9586,4444,2,09:47:19,21.29,21.38,0.09,21.38
9587,4444,2,09:47:57,20,20,0,20
9588,4444,2,09:48:02,46.15,48.42,3.27,48.42
9589,4444,2,09:49:08,21.29,21.38,0.09,21.38
9590,4444,2,09:49:25,31.16,32.35,2.19,32.35
9591,4444,2,09:50:35,2.79,2.99,0.2,2.99
9269,20000,10001,09:52:06,27.27,27.08,0,27.08
9270,20000,10004,09:52:13,63.11,62.66,0,62.66
9271,20000,10003,09:52:15,48.06,48.06,0,48.06
9592,4444,2,09:52:15,5.88,6.31,0.43,6.31
9272,20000,10005,09:52:45,74.35,74.35,0,74.35
9593,4444,2,09:52:47,13.49,14.47,0.98,14.47
9594,4444,2,09:55:45,29.98,32.15,2.17,32.15
9595,4444,2,09:56:32,69.75,74.81,5.06,74.81
9597,4444,2,09:58:34,15.99,17.15,1.16,17.15
9598,4444,2,09:59:14,6.69,7.18,0.49,7.18
9599,4444,2,09:59:40,3.16,3.39,0.23,3.39
9273,20000,10004,10:01:46,20,20,0,20
9600,4444,2,10:03:47,7.47,8.01,0.54,8.01
9601,4444,2,10:05:10,26.9,25.18,1.68,25.18
9274,20000,10001,10:06:37,63.05,63.05,0,63.05
9602,4444,2,10:07:17,2.18,2.34,0.16,2.34
9275,20000,10001,10:11:32,60.73,60.73,0,60.73
9276,20000,10003,10:11:44,65,65,0,65
9605,4444,2,10:14:10,2.67,2.86,0.19,2.86
9277,20000,10003,10:14:34,32.68,32.68,0,32.68
9278,20000,10002,10:16:55,56.07,56.07,0,56.07
9279,20000,10003,10:18:14,46.1,45.01,0,45.01
9280,20000,10001,10:21:19,100.55,98.46,0,98.46
9606,4444,2,10:22:22,24.56,25.27,1.71,25.27
9607,4444,2,10:22:54,14.99,16.08,1.09,16.08
9608,4444,2,10:23:46,50.1,53.73,3.63,53.73
9609,4444,2,10:25:36,5,5,0,5
9281,20000,10005,10:26:28,49.13,49.13,0,49.13
9610,4444,2,10:28:07,58,58,0,58
9611,4444,2,10:29:22,12.28,13.17,0.89,13.17
9282,20000,10002,10:29:34,57.52,57.52,0,57.52
9612,4444,2,10:29:44,24.56,22.69,1.53,22.69
9283,20000,10003,10:31:41,40.97,40,0,40
9613,4444,2,10:32:49,2.58,2.77,0.19,2.77
9614,4444,2,10:33:50,7.75,8.13,0.38,8.13
9284,20000,10004,10:35:06,21.86,21.6,0,21.6
9615,4444,2,10:35:49,25.16,19.48,1.32,19.48
9285,20000,10005,10:38:17,25,25,0,25
9616,4444,2,10:38:45,18.98,12.85,0.87,12.85
9286,20000,10001,10:39:50,30.41,30.05,0,30.05
9617,4444,2,10:39:50,5.58,5.98,0.4,5.98
9287,20000,10005,10:45:23,36.43,35.99,0,35.99
9288,20000,10003,10:46:59,38.45,38.21,0,38.21
9289,20000,10001,10:48:37,40.94,40.94,0,40.94
9290,20000,10004,10:50:21,155.54,155.54,0,155.54
9618,4444,2,10:50:35,1.99,2.13,0.14,2.13
9291,20000,10002,10:51:37,42.01,42.01,0,42.01
9619,4444,2,10:51:46,32.28,33.75,1.47,33.75
9620,4444,2,10:54:08,32.28,33.75,1.47,33.75
9292,20000,10001,10:54:56,51.38,51.38,0,51.38
9621,4444,2,10:55:32,1.99,2.01,0.02,2.01
9293,20000,10005,10:55:38,56.4,56,0,56
9294,20000,10002,10:55:50,38.83,38.83,0,38.83
9295,20000,10004,10:57:12,46.27,46.27,0,46.27
9622,4444,2,10:58:12,5.47,5.87,0.4,5.87
9296,20000,10003,10:58:53,50.19,50.19,0,50.19
9623,4444,2,10:59:04,13.75,14.75,1,14.75
9624,4444,2,10:59:54,12.29,13.18,0.89,13.18
9625,4444,2,11:00:14,22.47,20.45,1.38,20.45
9297,20000,10005,11:00:47,47.78,47.78,0,47.78
9626,4444,2,11:01:00,27.98,21.96,1.48,21.96
9298,20000,10004,11:01:55,58.38,58.38,0,58.38
9299,20000,10001,11:03:14,30.01,30.01,0,30.01
9627,4444,2,11:05:08,33.6,26.06,1.76,26.06
9300,20000,10003,11:09:05,30.1,30.1,0,30.1
9628,4444,2,11:11:17,18.85,20.22,1.37,20.22
9629,4444,2,11:16:15,9.49,10.18,0.69,10.18
9630,4444,2,11:17:25,40,40,0,40
9631,4444,2,11:17:33,12.99,13.93,0.94,13.93
9632,4444,2,11:18:38,35.24,21.71,1.47,21.71
9301,20000,10004,11:18:50,33.26,33.26,0,33.26
9633,4444,2,11:19:43,40,40,0,40
9634,4444,2,11:20:03,100,100,0,100
9635,4444,2,11:20:21,10,10,0,10
9636,4444,2,11:20:42,2,2,0,2
9637,4444,2,11:22:25,10,10,0,10
9638,4444,2,11:22:38,28.05,28.63,0.58,28.63
9639,4444,2,11:23:45,26,26,0,26
9640,4444,2,11:24:49,28.05,28.63,0.58,28.63
9641,4444,2,11:25:11,19.51,12.88,0.87,12.88
9643,4444,2,11:26:37,41.45,44.46,3.01,44.46
9644,4444,2,11:30:19,6.18,6.63,0.45,6.63
9302,20000,10002,11:31:37,37.11,36.23,0,36.23
9303,20000,10005,11:31:56,17.35,17.14,0,17.14
9645,4444,2,11:34:35,9.47,9.91,0.44,9.91
9304,20000,10005,11:36:35,50.01,50.01,0,50.01
9646,4444,2,11:37:06,16.29,16.38,0.09,16.38
9647,4444,2,11:38:57,16.29,16.38,0.09,16.38
9648,4444,2,11:40:50,10,10,0,10
9649,4444,2,11:42:39,10.5,10,0,10
9650,4444,2,11:43:07,21,21,0,21
9651,4444,2,11:44:47,21,21,0,21
9652,4444,2,11:45:11,122.9,123.87,8.37,123.87
9653,4444,2,11:47:46,12.93,13.84,0.91,13.84
9654,4444,2,11:49:02,33.26,33.7,1.94,33.7
9655,4444,2,11:50:31,20,20,0,20
9305,20000,10005,11:53:42,61.65,61.65,0,61.65
9306,20000,10004,11:55:25,15.21,15.21,0,15.21
9307,20000,10003,11:57:01,60.39,60.39,0,60.39
9656,4444,2,12:01:31,5.08,5.45,0.37,5.45
9657,4444,2,12:02:20,10,10,0,10
9658,4444,2,12:02:58,20,20,0,20
9659,4444,2,12:03:09,14.87,15.95,1.08,15.95
9660,4444,2,12:04:31,10,10,0,10
9661,4444,2,12:05:08,7.38,7.92,0.54,7.92
9662,4444,2,12:06:41,4.88,5.23,0.35,5.23
9663,4444,2,12:09:43,27.99,28.18,0.19,28.18
9664,4444,2,12:11:07,6.58,7.06,0.48,7.06
9665,4444,2,12:13:36,27.99,28.18,0.19,28.18
9666,4444,2,12:14:57,3.78,4.05,0.27,4.05
9668,4444,2,12:18:04,50,50,0,50
9669,4444,2,12:22:30,50,50,0,50
9308,20000,10003,12:30:56,30,30,0,30
9670,4444,2,12:32:37,2.99,3.21,0.22,3.21
9671,4444,2,12:33:26,30,30,0,30
9672,4444,2,12:34:07,5.38,5.58,0.2,5.58
9309,20000,10001,12:35:02,39.29,39.29,0,39.29
9673,4444,2,12:35:37,5.28,5.57,0.29,5.57
9674,4444,2,12:36:34,30,30,0,30
9310,20000,10003,12:38:33,30.25,30.25,0,30.25
9311,20000,10002,12:40:49,51.24,50.02,0,50.02
9675,4444,2,12:42:02,1.89,1.91,0.02,1.91
9312,20000,10001,12:44:05,68.89,67.25,0,67.25
9313,20000,10002,12:45:37,30,30,0,30
9676,4444,2,12:46:37,23.87,24.75,0.88,24.75
9677,4444,2,12:47:16,18.93,20.3,1.37,20.3
9678,4444,2,12:48:13,7.58,8.13,0.55,8.13
9679,4444,2,12:48:34,23.87,24.75,0.88,24.75
9680,4444,2,12:48:45,5.08,5.35,0.27,5.35
9314,20000,10004,12:53:59,29.02,29.02,0,29.02
9681,4444,2,12:54:37,35,35,0,35
9315,20000,10002,12:54:55,27.54,27.54,0,27.54
9682,4444,2,12:56:01,10.86,11,0.14,11
9683,4444,2,12:56:25,35,35,0,35
9684,4444,2,12:58:45,10.86,11,0.14,11
9685,4444,2,13:01:36,6.78,7.27,0.49,7.27
9316,20000,10004,13:02:09,60.02,60.02,0,60.02
9686,4444,2,13:02:18,15.39,16.32,0.93,16.32
9687,4444,2,13:03:28,24.58,22.72,1.54,22.72
9688,4444,2,13:06:32,6.78,6.85,0.07,6.85
9317,20000,10002,13:11:38,20.02,20.02,0,20.02
9318,20000,10004,13:11:49,35.01,35.01,0,35.01
9689,4444,2,13:12:19,6.67,7.15,0.48,7.15
9319,20000,10003,13:17:49,67.3,66.5,0,66.5
9690,4444,2,13:18:24,10.01,10.01,0,10.01
9691,4444,2,13:19:42,4.08,4.38,0.3,4.38
9692,4444,2,13:20:08,24.08,24.38,0.3,24.38
9693,4444,2,13:22:35,24.32,24.38,0.3,24.38
9694,4444,2,13:23:04,7,7,0,7
9695,4444,2,13:23:51,21.5,21.61,0.11,21.61
9696,4444,2,13:24:12,7,7,0,7
9697,4444,2,13:25:38,20.21,20.95,0.74,20.95
9698,4444,2,13:27:06,21.5,21.61,0.11,21.61
9699,4444,2,13:28:34,20.21,20.95,0.74,20.95
9700,4444,2,13:34:00,36.69,36.71,0.02,36.71
9701,4444,2,13:37:07,36.69,36.71,0.02,36.71
9702,4444,2,13:37:10,38.94,41.76,2.82,41.76
9703,4444,2,13:39:24,4.98,5.34,0.36,5.34
9320,20000,10001,13:40:11,51.79,51.18,0,51.18
9321,20000,10004,13:41:02,40.02,40.02,0,40.02
9704,4444,2,13:45:34,29.95,32.12,2.17,32.12
9705,4444,2,13:49:59,11.16,11.97,0.81,11.97
9706,4444,2,13:50:53,21.94,23.28,1.34,23.28
9322,20000,10003,13:51:02,58.63,57.23,0,57.23
9323,20000,10005,13:51:50,74.27,74.27,0,74.27
9707,4444,2,13:51:53,21.94,23.28,1.34,23.28
9708,4444,2,13:53:07,30,30,0,30
9709,4444,2,13:56:48,24.56,22.69,1.53,22.69
9710,4444,2,13:57:53,30.73,30,0,30
9711,4444,2,13:58:00,30.95,31.74,0.79,31.74
9324,20000,10005,13:58:08,20,20,0,20
9712,4444,2,13:58:59,6.18,6.63,0.45,6.63
9713,4444,2,13:59:37,25.57,27.42,1.85,27.42
9714,4444,2,14:01:13,15,15,0,15
9715,6767,2,14:01:54,8.59,9.21,0.62,9.21
9716,6767,2,14:03:31,44.8,48.05,3.25,48.05
9325,20000,10004,14:04:01,25.16,25.16,0,25.16
9717,6767,2,14:04:02,3.79,3.99,0.2,3.99
9718,6767,2,14:09:18,7.65,8.18,0.53,8.18
9719,6767,2,14:11:45,4.17,4.47,0.3,4.47
9326,20000,10004,14:12:47,72.74,71,0,71
9720,6767,2,14:13:54,6.28,6.74,0.46,6.74
9721,6767,2,14:14:15,3.39,3.64,0.25,3.64
9327,20000,10002,14:14:30,53.93,53.93,0,53.93
9722,6767,2,14:14:46,4.98,5.34,0.36,5.34
9723,6767,2,14:15:15,12.65,13.41,0.76,13.41
9724,6767,2,14:16:43,7.76,8.25,0.49,8.25
9725,6767,2,14:17:03,1.09,1.17,0.08,1.17
9726,6767,2,14:17:31,1.19,1.2,0.01,1.2
9727,6767,2,14:18:23,40,40,0,40
9328,20000,10005,14:19:38,20,20,0,20
9728,6767,2,14:21:53,6.88,7.38,0.5,7.38
9729,6767,2,14:22:26,37.7,37,0,37
9329,20000,10003,14:25:30,72.04,72.04,0,72.04
9330,20000,10005,14:27:12,38.27,38,0,38
9730,6767,2,14:29:22,18.13,19.42,1.29,19.42
9331,20000,10004,14:36:03,41.79,41.79,0,41.79
9332,20000,10003,14:37:47,35,35,0,35
9333,20000,10002,14:40:48,40.07,39.32,0,39.32
9731,6767,2,14:41:37,11.94,12.81,0.87,12.81
9732,6767,2,14:42:18,7.35,7.88,0.53,7.88
9334,20000,10003,14:43:36,41.68,41.68,0,41.68
9335,20000,10005,14:44:22,57.76,57.76,0,57.76
9336,20000,10002,14:46:27,20.5,20.5,0,20.5
9733,6767,2,14:49:34,48.81,49.45,0.64,49.45
9337,20000,10005,14:50:26,38.54,38.54,0,38.54
9734,6767,2,14:50:43,29.88,30.23,0.35,30.23
9735,6767,2,14:51:45,11.48,12.13,0.65,12.13
9338,20000,10002,14:52:03,59,59,0,59
9736,6767,2,14:52:34,48.81,49.45,0.64,49.45
9737,6767,2,14:53:22,30.06,30.23,0.35,30.23
9738,6767,2,14:57:08,1.99,2.01,0.02,2.01
9739,6767,2,15:00:15,4.48,4.8,0.32,4.8
9339,20000,10004,15:04:06,46.67,46.67,0,46.67
9340,20000,10003,15:04:12,30.86,30.13,0,30.13
9341,20000,10005,15:04:17,55.55,55.55,0,55.55
9740,6767,2,15:05:33,10.65,11.35,0.7,11.35
9741,6767,2,15:06:39,12.29,13.18,0.89,13.18
9342,20000,10003,15:08:42,51.74,50.51,0,50.51
9343,20000,10004,15:10:32,35.01,35.01,0,35.01
9344,20000,10002,15:11:29,21.7,21.7,0,21.7
9743,6767,2,15:17:18,10,10,0,10
9744,6767,2,15:18:04,41.29,41.38,0.09,41.38
9745,6767,2,15:18:59,10,10,0,10
9746,6767,2,15:19:05,2.99,3.21,0.22,3.21
9747,6767,2,15:19:28,21.22,22.76,1.54,22.76
9748,6767,2,15:20:22,20,21.45,1.45,21.45
9345,20000,10003,15:20:25,39.89,39.89,0,39.89
9346,20000,10005,15:20:45,20.14,20,0,20
9749,6767,2,15:20:49,3.28,3.52,0.24,3.52
9750,6767,2,15:21:15,41.29,41.38,0.09,41.38
